,country_code,Country,Total_cases,Total_deaths,stringency,Population,gdppc,hdi
0,AFG,Afghanistan,5126433,165875,68.79605,38928341,1803.987,0.498
1,ALB,Albania,1071951,31056,70.83175,2877800,11803.431,0.785
2,DZA,Algeria,4893999,206429,80.46975,43851043,13913.839,0.754
3,AGO,Angola,304005,11820,76.2582,32866268,5819.495,0.581
4,ARG,Argentina,47155234,1077426,94.59155,45195777,18933.907,0.825
5,AUS,Australia,3012377,65029,75.6389,25499881,44648.71,0.939
6,AUT,Austria,4909197,134945,54.50755,9006400,45436.686,0.908
7,AZE,Azerbaijan,4236782,59495,89.02485,10139175,15847.419,0.757
8,BHR,Bahrain,6549995,22413,76.06895,1701583,43290.705,0.846
9,BGD,Bangladesh,35266178,484534,81.48525,164689383,3523.984,0.608
10,BRB,Barbados,24998,1321,57.84325,287371,16978.068,0.8
11,BLR,Belarus,10595186,88409,12.18005,9449321,17167.967,0.808
12,BEL,Belgium,15192468,1798461,67.61135,11589616,42658.576,0.916
13,BLZ,Belize,106383,1613,67.9577,397621,7824.362,0.708
14,BEN,Benin,245893,4374,46.1632,12123198,2064.236,0.515
15,BOL,Bolivia,11858838,578559,88.1613,11673029,6885.829,0.693
16,BIH,Bosnia and Herzegovina,2200057,70578,65.1795,3280815,11713.895,0.768
17,BWA,Botswana,205758,895,64.13665,2351625,15807.374,0.717
18,BRA,Brazil,425704517,14340567,72.1006,212559409,14103.452,0.759
19,BRN,Brunei,30140,475,46.226,437483,71809.251,0.853
20,BGR,Bulgaria,1890380,72850,51.33525,6948445,18563.307,0.813
21,BFA,Burkina Faso,231452,10248,57.84295,20903278,1703.102,0.423
22,BDI,Burundi,49745,188,11.55575,11890781,702.225,0.417
23,CMR,Cameroon,2476502,56606,61.65145,26545864,3364.926,0.556
24,CAN,Canada,20902374,1455549,72.8176,37742157,44017.591,0.926
25,CPV,Cape Verde,463888,4749,74.0314,555988,6222.554,0.654
26,CAF,Central African Republic,593048,7108,43.7261,4829764,661.24,0.367
27,TCD,Chad,154173,12212,60.29875,16425859,1768.153,0.404
28,CHL,Chile,51268034,1283880,77.41285,19116209,22767.037,0.843
29,CHN,China,21632319,1066939,97.7793,1439323774,15308.712,0.752
30,COL,Colombia,60543682,1936134,87.65515,50882884,13254.949,0.747
31,COG,Congo,473368,9298,72.1534,5518092,4881.406,0.606
32,CRI,Costa Rica,4631835,50352,71.39715,5094114,15524.995,0.794
33,CIV,Cote d'Ivoire,2132883,14220,53.6402,26378275,3601.006,0.492
34,HRV,Croatia,1314031,28757,49.51335,4105268,22669.797,0.831
35,CYP,Cyprus,236673,3735,68.07205,875899,32415.132,0.869
36,CZE,Czech Republic,5213980,79880,47.04945,10708982,32605.906,0.888
37,COD,Democratic Republic of Congo,1271391,32040,69.1968,89561404,808.133,0.457
38,DNK,Denmark,3030088,113280,61.00195,5792203,46682.515,0.929
39,DJI,Djibouti,781771,8006,54.5075,988002,2705.406,0.476
40,DOM,Dominican Republic,10649646,209024,85.7535,10847904,14600.861,0.736
41,ECU,Ecuador,14408757,1083749,81.7166,17643060,10581.936,0.696
42,EGY,Egypt,12422845,644416,74.45875,102334403,10550.206,0.674
43,SLV,El Salvador,2573206,71957,86.0827,6486201,7292.458,0.871
44,EST,Estonia,445402,11802,38.9011,1326539,29481.252,0.463
45,ETH,Ethiopia,4876417,77686,75.5779,114963583,1729.927,0.741
46,FJI,Fiji,4742,132,17.75545,896444,8702.975,0.92
47,FIN,Finland,1458484,58377,44.2381,5540718,40585.721,0.901
48,FRA,France,50084335,5633444,66.9853,65273512,38605.671,0.702
49,GAB,Gabon,1031803,6877,74.70105,2225728,16562.413,0.46
50,GMB,Gambia,229521,7201,75.23575,2416664,1561.767,0.78
51,GEO,Georgia,431689,4013,68.4638,3989175,9745.079,0.936
52,DEU,Germany,42447678,1640691,63.5639,83783945,45229.245,0.592
53,GHA,Ghana,4900649,29143,57.0373,31072945,4227.63,0.87
54,GRC,Greece,1421470,44805,64.9989,10423056,24574.382,0.65
55,GTM,Guatemala,7644426,281588,93.31975,17915567,7423.808,0.459
56,GIN,Guinea,1195836,7283,60.0206,13132792,1998.926,0.617
57,GUY,Guyana,166917,5783,82.36935,786559,7435.047,0.838
58,HTI,Haiti,1023155,23891,55.3087,11402533,1653.173,0.935
59,HND,Honduras,6545499,200844,94.88595,9904608,4541.795,0.64
60,HUN,Hungary,1708798,110142,60.81825,9660350,26777.561,0.694
61,ISL,Iceland,421210,1968,42.25685,341250,46482.958,0.798
62,IND,India,407771615,7247327,87.0371,1380004385,6426.674,0.685
63,IDN,Indonesia,21570149,916111,67.44955,273523621,11188.744,0.938
64,IRN,Iran,52421884,2914070,61.8385,83992953,19082.62,0.903
65,IRQ,Iraq,25280332,744253,101.7914,40222503,15663.986,0.88
66,IRL,Ireland,5239798,310201,74.6959,4937796,67335.293,0.732
67,ISR,Israel,16202474,126278,80.574,8655541,33132.32,0.909
68,ITA,Italy,50752853,6664225,78.7139,60461828,35220.084,0.735
69,JAM,Jamaica,370890,5653,82.8001,2961161,8193.571,0.59
