country_code,country,Total_cases,Total_deaths,stringency,Population,gdppc,hdi
AFG,Afghanistan,5126433,165875,46.80003401,38928341,1803.987,0.474285714
ALB,Albania,1071951,31056,48.18486395,2877800,11803.431,0.55537415
DZA,Algeria,4893999,206429,54.74132653,43851043,13913.839,0.548829932
AGO,Angola,304005,11820,51.87632653,32866268,5819.495,0.381404762
ARG,Argentina,47155234,1077426,64.3479932,45195777,18933.907,0.600510204
AUS,Australia,3012377,65029,51.45503401,25499881,44648.71,0.744173469
AUT,Austria,4909197,134945,37.07996599,9006400,45436.686,0.670190476
AZE,Azerbaijan,4236782,59495,60.56112245,10139175,15847.419,0.545863946
BHR,Bahrain,6549995,22413,51.74758503,1701583,43290.705,0.624428571
BGD,Bangladesh,35266178,484534,55.43214286,164689383,3523.984,0.413605442
BRB,Barbados,24998,1321,39.34914966,287371,16978.068,0.536054422
BLR,Belarus,10595186,88409,8.285748299,9449321,17167.967,0.519428571
BEL,Belgium,15192468,1798461,45.99411565,11589616,42658.576,0.691673469
BLZ,Belize,106383,1613,46.22972789,397621,7824.362,0.447918367
BEN,Benin,245893,4374,31.40353741,12123198,2064.236,0.325816327
BOL,Bolivia,11858838,578559,59.97367347,11673029,6885.829,0.462
BIH,Bosnia and Herzegovina,2200057,70578,44.33979592,3280815,11713.895,0.540734694
BWA,Botswana,205758,895,43.63037415,2351625,15807.374,0.487755102
BRA,Brazil,425704517,14340567,49.04802721,212559409,14103.452,0.487928571
BRN,Brunei,30140,475,31.4462585,437483,71809.251,0.591877551
BGR,Bulgaria,1890380,72850,34.92193878,6948445,18563.307,0.608367347
BFA,Burkina Faso,231452,10248,39.34894558,20903278,1703.102,0.302142857
BDI,Burundi,49745,188,7.861054422,11890781,702.225,0.25672449
CMR,Cameroon,2476502,56606,41.9397619,26545864,3364.926,0.389578231
CAN,Canada,20902374,1455549,49.53578231,37742157,44017.591,0.69292517
CPV,Cape Verde,463888,4749,50.3614966,555988,6222.554,0.447122449
CAF,Central African Republic,593048,7108,29.74564626,4829764,661.24,0.182251701
TCD,Chad,154173,12212,41.01955782,16425859,1768.153,0.233605442
